Contest,  Problem,  Difficulty,  Name,  Codeforces URL
1294,  B,  1200,  Collecting Packages,  https://codeforces.com/problemset/problem/1294/B
1305,  B,  1200,  Kuroni and Simple Strings,  https://codeforces.com/problemset/problem/1305/B
1311,  B,  1200,  WeirdSort,  https://codeforces.com/problemset/problem/1311/B
1311,  B,  1200,  WeirdSort,  https://codeforces.com/problemset/problem/1311/B
1311,  B,  1200,  WeirdSort,  https://codeforces.com/problemset/problem/1311/B
1315,  C,  1200,  Restoring Permutation,  https://codeforces.com/problemset/problem/1315/C
1327,  B,  1200,  Princesses and Princes,  https://codeforces.com/problemset/problem/1327/B
1328,  C,  1200,  Ternary XOR,  https://codeforces.com/problemset/problem/1328/C
1334,  A,  1200,  Level Statistics,  https://codeforces.com/problemset/problem/1334/A
1339,  B,  1200,  Sorted Adjacent Differences,  https://codeforces.com/problemset/problem/1339/B
1343,  C,  1200,  Alternating Subsequence,  https://codeforces.com/problemset/problem/1343/C
1343,  C,  1200,  Alternating Subsequence,  https://codeforces.com/problemset/problem/1343/C
1352,  B,  1200,  Same Parity Summands,  https://codeforces.com/problemset/problem/1352/B
1352,  C,  1200,  K-th Not Divisible by n,  https://codeforces.com/problemset/problem/1352/C
1354,  B,  1200,  Ternary String,  https://codeforces.com/problemset/problem/1354/B
1354,  B,  1200,  Ternary String,  https://codeforces.com/problemset/problem/1354/B
1355,  A,  1200,  Sequence with Digits,  https://codeforces.com/problemset/problem/1355/A
1355,  B,  1200,  Young Explorers,  https://codeforces.com/problemset/problem/1355/B
1362,  B,  1200,  Johnny and His Hobbies,  https://codeforces.com/problemset/problem/1362/B
1363,  A,  1200,  Odd Selection,  https://codeforces.com/problemset/problem/1363/A
1363,  A,  1200,  Odd Selection,  https://codeforces.com/problemset/problem/1363/A
1364,  A,  1200,  XXXXX,  https://codeforces.com/problemset/problem/1364/A
1369,  B,  1200,  AccurateLee,  https://codeforces.com/problemset/problem/1369/B
1369,  B,  1200,  AccurateLee,  https://codeforces.com/problemset/problem/1369/B
1371,  B,  1200,  Magical Calendar,  https://codeforces.com/problemset/problem/1371/B
1375,  B,  1200,  Neighbor Grid,  https://codeforces.com/problemset/problem/1375/B
1375,  B,  1200,  Neighbor Grid,  https://codeforces.com/problemset/problem/1375/B
1375,  B,  1200,  Neighbor Grid,  https://codeforces.com/problemset/problem/1375/B
1384,  A,  1200,  Common Prefixes,  https://codeforces.com/problemset/problem/1384/A
1385,  C,  1200,  Make It Good,  https://codeforces.com/problemset/problem/1385/C
1385,  C,  1200,  Make It Good,  https://codeforces.com/problemset/problem/1385/C
1385,  C,  1200,  Make It Good,  https://codeforces.com/problemset/problem/1385/C
1392,  C,  1200,  Omkar and Waterslide,  https://codeforces.com/problemset/problem/1392/C
1399,  C,  1200,  Boats Competition,  https://codeforces.com/problemset/problem/1399/C
1399,  C,  1200,  Boats Competition,  https://codeforces.com/problemset/problem/1399/C
1399,  C,  1200,  Boats Competition,  https://codeforces.com/problemset/problem/1399/C
1406,  B,  1200,  Maximum Product,  https://codeforces.com/problemset/problem/1406/B
1409,  C,  1200,  Yet Another Array Restoration,  https://codeforces.com/problemset/problem/1409/C
1409,  C,  1200,  Yet Another Array Restoration,  https://codeforces.com/problemset/problem/1409/C
1420,  B,  1200,  Rock and Lever,  https://codeforces.com/problemset/problem/1420/B
1428,  B,  1200,  Belted Rooms,  https://codeforces.com/problemset/problem/1428/B
1433,  D,  1200,  Districts Connection,  https://codeforces.com/problemset/problem/1433/D
1433,  D,  1200,  Districts Connection,  https://codeforces.com/problemset/problem/1433/D
1437,  B,  1200,  Reverse Binary Strings,  https://codeforces.com/problemset/problem/1437/B
1454,  C,  1200,  Sequence Transformation,  https://codeforces.com/problemset/problem/1454/C
1454,  C,  1200,  Sequence Transformation,  https://codeforces.com/problemset/problem/1454/C
1455,  B,  1200,  Jumps,  https://codeforces.com/problemset/problem/1455/B
1455,  B,  1200,  Jumps,  https://codeforces.com/problemset/problem/1455/B
1455,  B,  1200,  Jumps,  https://codeforces.com/problemset/problem/1455/B
1455,  B,  1200,  Jumps,  https://codeforces.com/problemset/problem/1455/B
1455,  B,  1200,  Jumps,  https://codeforces.com/problemset/problem/1455/B
1472,  D,  1200,  Even-Odd Game,  https://codeforces.com/problemset/problem/1472/D
1472,  D,  1200,  Even-Odd Game,  https://codeforces.com/problemset/problem/1472/D
1472,  D,  1200,  Even-Odd Game,  https://codeforces.com/problemset/problem/1472/D
1485,  B,  1200,  Replace and Keep Sorted,  https://codeforces.com/problemset/problem/1485/B
1487,  B,  1200,  Cat Cycle,  https://codeforces.com/problemset/problem/1487/B
1490,  D,  1200,  Permutation Transformation,  https://codeforces.com/problemset/problem/1490/D
1491,  B,  1200,  Minimal Cost,  https://codeforces.com/problemset/problem/1491/B
1495,  A,  1200,  Diamond Miner,  https://codeforces.com/problemset/problem/1495/A
1495,  A,  1200,  Diamond Miner,  https://codeforces.com/problemset/problem/1495/A
1495,  A,  1200,  Diamond Miner,  https://codeforces.com/problemset/problem/1495/A
1495,  A,  1200,  Diamond Miner,  https://codeforces.com/problemset/problem/1495/A
1495,  A,  1200,  Diamond Miner,  https://codeforces.com/problemset/problem/1495/A
1495,  A,  1200,  Diamond Miner,  https://codeforces.com/problemset/problem/1495/A
1497,  B,  1200,  M-arrays,  https://codeforces.com/problemset/problem/1497/B
1497,  C1,  1200,  k-LCM (easy version),  https://codeforces.com/problemset/problem/1497/C1
1504,  B,  1200,  Flip the Bits,  https://codeforces.com/problemset/problem/1504/B
1510,  K,  1200,  King's Task,  https://codeforces.com/problemset/problem/1510/K
1510,  K,  1200,  King's Task,  https://codeforces.com/problemset/problem/1510/K
1510,  K,  1200,  King's Task,  https://codeforces.com/problemset/problem/1510/K
1512,  C,  1200,  A-B Palindrome,  https://codeforces.com/problemset/problem/1512/C
1512,  C,  1200,  A-B Palindrome,  https://codeforces.com/problemset/problem/1512/C
1512,  C,  1200,  A-B Palindrome,  https://codeforces.com/problemset/problem/1512/C
1512,  C,  1200,  A-B Palindrome,  https://codeforces.com/problemset/problem/1512/C
1512,  D,  1200,  Corrupted Array,  https://codeforces.com/problemset/problem/1512/D
1514,  B,  1200,  AND 0, Sum Big,  https://codeforces.com/problemset/problem/1514/B
1520,  D,  1200,  Same Differences,  https://codeforces.com/problemset/problem/1520/D
1527,  B1,  1200,  Palindrome Game (easy version),  https://codeforces.com/problemset/problem/1527/B1
1527,  B1,  1200,  Palindrome Game (easy version),  https://codeforces.com/problemset/problem/1527/B1
1530,  C,  1200,  Pursuit,  https://codeforces.com/problemset/problem/1530/C
1530,  C,  1200,  Pursuit,  https://codeforces.com/problemset/problem/1530/C
1530,  C,  1200,  Pursuit,  https://codeforces.com/problemset/problem/1530/C
1537,  C,  1200,  Challenging Cliffs,  https://codeforces.com/problemset/problem/1537/C
1539,  C,  1200,  Stable Groups,  https://codeforces.com/problemset/problem/1539/C
1541,  B,  1200,  Pleasant Pairs,  https://codeforces.com/problemset/problem/1541/B
